RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Luka DoncicDAL,PG,7,40.1,35.7,13.7,28,49,4.4,10.9,40.8,3.9,7.3,52.9,7.9,10.3,1.3,0.4,4.6,4,1,0
2,Damian LillardPOR,PG,6,41.3,34.3,10.3,22.3,46.3,5.8,13,44.9,7.8,8.3,94,4.3,10.2,1,0.7,2.2,5,0,0
3,Kevin DurantBKN,PF,12,40.4,34.3,12.1,23.5,51.4,2.8,6.8,40.2,7.3,8.4,87.1,9.3,4.4,1.5,1.6,3.5,6,1,0
4,Donovan MitchellUTAH,SG,10,34.6,32.3,10.5,23.5,44.7,5,11.5,43.5,6.3,7.6,82.9,4.2,5.5,1.1,0.2,2.8,1,0,0
5,Jayson TatumBOS,SF,5,37,30.6,9.4,22.2,42.3,2.8,7.2,38.9,9,9.8,91.8,5.8,4.6,1.2,1.6,2.6,0,0,0
6,Kawhi LeonardLAC,SF,11,39.3,30.4,11.1,19.4,57.3,2.2,5.5,39.3,6,6.8,88,7.7,4.4,2.1,0.8,2.2,4,0,0
7,Ja MorantMEM,PG,5,40.6,30.2,11,22.6,48.7,2,6.2,32.3,6.2,8,77.5,4.8,8.2,0.4,0,3.4,2,0,0
8,Giannis AntetokounmpoMIL,PF,21,38.1,30.2,11.9,20.9,56.9,0.6,3.3,18.6,5.8,9.8,58.7,12.8,5.1,1,1.2,3,18,1,0
9,Bradley BealWSH,SG,5,39,30,11.2,24.6,45.5,1.4,6.4,21.9,6.2,7.2,86.1,6.2,4.2,0.8,0.6,4,1,0,0
10,Nikola JokicDEN,C,10,34.5,29.8,11.6,22.8,50.9,2,5.3,37.7,4.6,5.5,83.6,11.6,5,0.6,0.9,2.4,6,1,0
11,Trae YoungATL,PG,16,37.7,28.8,9.4,22.4,41.8,2.8,9,31.3,7.3,8.4,86.6,2.8,9.5,1.3,0,4,8,0,0
12,Joel EmbiidPHI,C,11,32.5,28.1,9.2,17.9,51.3,1.5,3.7,39,8.3,9.9,83.5,10.5,3.4,1,1.5,3.8,5,0,0
13,Devin BookerPHX,SG,22,40.4,27.3,9.6,21.5,44.7,2,6.2,32.1,6,6.7,90.5,5.6,4.5,0.8,0.2,3.7,4,1,0
14,Paul GeorgeLAC,SG,19,40.8,26.9,8.7,19.7,44.1,2.7,8,33.6,6.8,8.1,84.4,9.6,5.4,1,0.5,3.5,10,0,0
15,Dillon BrooksMEM,SF,5,35,25.8,10,19.4,51.5,1.6,4,40,4.2,5.2,80.8,4.2,2.2,1.4,0.4,1.8,0,0,0
16,Khris MiddletonMIL,SF,23,40.1,23.6,8.6,19.7,43.8,2.6,7.6,34.3,3.7,4.2,88.7,7.6,5.1,1.5,0.2,3.2,7,0,0
17,LeBron JamesLAL,SF,6,37.3,23.3,9,19,47.4,3,8,37.5,2.3,3.8,60.9,7.2,8,1.5,0.3,4.2,2,0,0
18,Kyrie IrvingBKN,PG,9,36.1,22.7,8.6,18.1,47.2,2.7,7.2,36.9,2.9,3.1,92.9,5.8,3.4,1,0.6,1.2,1,0,0
19,Tobias HarrisPHI,PF,12,36.5,21.8,8.8,17.9,48.8,1.3,3.6,37.2,2.9,3.3,87.5,8.5,3.5,1,0.4,1.5,4,0,0
20,CJ McCollumPOR,SG,6,40,20.7,8.3,19,43.9,2.3,7,33.3,1.7,2.2,76.9,6,4.3,0.3,0.7,2,0,0,0
21,James HardenBKN,SG,9,35.8,20.2,5.7,12,47.2,2.7,7.3,36.4,6.2,6.9,90.3,6.3,8.6,1.7,0.7,2.9,3,1,0
22,Chris PaulPHX,PG,20,34.2,19.2,7.5,15,49.7,1.5,3.3,44.6,2.9,3.3,87.7,3.5,8.6,1.2,0.2,2.2,4,0,0
23,Seth CurryPHI,SG,12,31.8,18.8,7.1,12.3,57.8,3.4,6.8,50.6,1.3,1.6,78.9,2.3,2.3,0.8,0.3,0.8,0,0,0
24,Bojan BogdanovicUTAH,SF,11,35.5,18.1,5.8,12.5,46.7,3.2,6.9,46.1,3.3,3.7,87.8,4.3,1.5,0.9,0,2.1,0,0,0
25,Reggie JacksonLAC,PG,19,32.7,17.8,6.4,13.3,48.4,3.1,7.5,40.8,1.9,2.2,87.8,3.2,3.4,0.9,0.2,1.5,1,0,0
26,Jordan ClarksonUTAH,PG,11,27.1,17.5,6.1,15,40.6,3.1,8.8,35.1,2.3,2.4,96.2,3.1,1.5,0.6,0.3,2.1,0,0,0
27,Michael Porter Jr.DEN,SF,10,33.2,17.4,6.4,13.5,47.4,2.9,7.3,39.7,1.7,2.1,81,6.2,1.3,1.1,0.3,1.6,1,0,0
28,Jrue HolidayMIL,PG,23,39.7,17.3,6.9,16.9,40.6,1.9,6.2,30.3,1.7,2.4,71.4,5.7,8.7,1.7,0.4,2.4,7,0,0
29,Tim Hardaway Jr.DAL,SF,7,37.4,17,6,14.4,41.6,3.3,8.1,40.4,1.7,2.3,75,3.3,1.4,0.4,0,0.9,0,0,0
30,Norman PowellPOR,SF,6,36,17,6.3,12.7,50,1.7,4.3,38.5,2.7,3,88.9,2.2,2,0.8,1,1.2,0,0,0
31,Deandre AytonPHX,C,22,36.4,15.8,7,10.6,65.8,0,0,0,1.8,2.4,73.6,11.8,1.1,0.8,1.1,1.3,14,0,0
32,Rudy GobertUTAH,C,11,34.2,14.7,5.5,7.4,74.1,0,0.1,0,3.8,6,63.6,12.3,0.8,0.5,2.1,1.5,9,0,0
33,Bogdan BogdanovicATL,SG,18,33.2,14.1,5.4,13.8,39,2.6,7.9,32.9,0.7,0.9,70.6,4.2,2.9,1.6,0.3,1.5,0,0,0
34,John CollinsATL,PF,18,32,13.9,5.6,10.1,54.9,1.1,3.1,35.7,1.7,2,83.3,8.7,0.9,0.4,0.6,1.3,5,0,0
35,Monte MorrisDEN,PG,10,28.6,13.7,5,11.6,43.1,1.6,4,40,2.1,2.9,72.4,2.4,5.5,1,0.2,0.7,0,0,0
36,Brook LopezMIL,C,23,29,13,5.2,9.4,54.8,1,3.1,31.9,1.6,1.9,86,5.9,0.3,0.7,1.5,1.1,0,0,0
37,Danilo GallinariATL,PF,18,24.6,12.8,4.1,9.7,42.5,1.9,4.7,40.5,2.7,2.9,94.2,3.9,0.8,0.3,0.2,0.8,0,0,0
38,Marcus Morris Sr.LAC,SF,19,31.8,12.2,4.5,10.5,43,1.9,5.1,37.5,1.3,1.7,75,4.3,1.5,0.5,0.5,0.4,0,0,0
39,Ben SimmonsPHI,PG,12,33.5,11.9,4.9,7.9,62.1,0,0.1,0,2.1,6.1,34.2,7.9,8.8,1.3,0.8,2.3,5,1,0
40,Royce O'NealeUTAH,PF,11,36.7,11.3,3.9,7.7,50.6,2.5,5.5,46.7,0.9,1.1,83.3,7.3,2.1,1.1,0.3,0.7,1,0,0
41,Joe HarrisBKN,SF,12,36.2,11.2,4.1,10.3,39.8,2.8,6.8,40.2,0.3,0.3,75,3.6,1.6,0.3,0.2,0.8,0,0,0
42,Aaron GordonDEN,PF,10,29.9,11.1,4.3,9.9,43.4,0.9,2.3,39.1,1.6,2.5,64,5.4,2,0.5,0.3,1.4,1,0,0
43,Mikal BridgesPHX,SF,22,32.1,11.1,4.2,8.6,48.4,1.6,4.3,36.8,1.1,1.3,89.3,4.3,1.6,1,0.7,0.7,0,0,0
44,Kevin HuerterATL,SG,18,31,11.1,4.3,10,42.8,1.8,5.3,34.7,0.7,0.9,70.6,3.8,2.8,0.8,0.9,1.1,1,0,0
45,Jae CrowderPHX,PF,22,33.1,10.8,3.5,8.4,41.3,2.5,6.5,38,1.4,1.6,88.6,6.1,1.9,0.9,0.8,0.9,2,0,0
46,Joe InglesUTAH,SG,11,27.8,10.2,3.5,7.2,49.4,2.2,5.3,41.4,0.9,1.2,76.9,3.1,3.5,0.6,0,0.8,0,0,0
47,Clint CapelaATL,C,18,31.6,10.1,4.6,7.6,60.3,0,0,0,0.9,2.2,43.6,11.2,0.9,0.7,1.1,1,7,0,0
48,Cameron PaynePHX,PG,22,19,9.3,3.7,8.8,42.5,1.1,3.1,36.2,0.7,0.8,88.9,2.5,3.2,0.8,0.5,1.1,0,0,0
49,Blake GriffinBKN,PF,12,26.5,9,3.5,6.6,53.2,1.2,3,38.9,0.8,1.2,71.4,5.9,1.8,0.8,0.5,0.4,2,0,0
50,Bobby PortisMIL,C,20,18.3,8.8,3.5,7.6,46.4,0.9,2.6,34.6,0.9,1.3,72,5,0.6,0.7,0.4,0.5,0,0,0
51,Cameron JohnsonPHX,SF,21,21.1,8.2,2.6,5.2,50,1.6,3.5,44.6,1.4,1.5,90.6,3.1,0.8,0.9,0.2,0.7,0,0,0
52,Nicolas BatumLAC,PF,19,29.2,8.1,2.8,5.7,48.6,1.5,3.8,38.9,1,1.2,82.6,5.5,2.1,1.3,0.5,0.3,0,0,0
53,Lou WilliamsATL,SG,18,15.4,7.7,2.8,6.1,45.5,0.7,1.7,43.3,1.4,1.5,96.3,1.4,2.2,0.7,0.1,1.2,0,0,0
54,Terance MannLAC,SG,19,19.9,7.6,2.8,5.5,51.9,0.8,1.9,43.2,1.1,1.5,71.4,2.7,0.7,0.5,0.3,0.2,0,0,0
55,Pat ConnaughtonMIL,SG,23,23.7,6.9,2.4,5.2,46.2,1.6,4.1,38.9,0.5,0.6,84.6,4.4,0.9,0.4,0.3,0.5,0,0,0
56,Bryn ForbesMIL,SG,20,13.7,6.6,2.3,5.6,41.1,1.7,4.5,37.1,0.3,0.4,75,1.4,0.3,0.1,0.1,0.4,0,0,0
57,Ivica ZubacLAC,C,17,17.7,6.3,2,3.4,59.6,0,0,0,2.3,2.9,79.6,5.8,0.4,0.1,0.7,0.9,3,0,0
